query,engine,domain,URL,title,text
doodle,Google,doodle.com,https://doodle.com/en/,Doodle: Free online meeting scheduling toolhttps://doodle.com › ...,
doodle,Google,doodle.com,https://doodle.com/meeting-scheduler,Online meeting scheduler - Doodlehttps://doodle.com › meeting-scheduler,You can easily use Doodle's meeting scheduler to schedule your meetings in minutes. Create a poll and send it off to your participants to let them choose ...
doodle,Google,doodles.google.com,https://doodles.google.com/d4g/,Doodle for Google - Enter Submissions for the Contesthttps://doodles.google.com › ...,"The 2022 contest is closed, but the Doodles live on! Check back soon to vote for your favorite Doodle and help select our National Finalists!"
doodle,Google,doodles.google.com,https://doodles.google.com/d4g/how-it-works/,How To Enter Doodle for Googlehttps://doodles.google.com › how-it-works,Use your imagination to create a Google Doodle based on what self care means to you. How to enter. We're excited to see some great Doodles this year! Students ...
doodle,Google,doodles.app,https://doodles.app/,Doodleshttps://doodles.app,"Doodles are a collection of 10,000 NFTs (non-fungible tokens) that are made up of hundreds of exciting visual traits designed by Burnt Toast. Hand-drawn Doodles ..."
doodle,Google,doodlecricket.github.io,https://doodlecricket.github.io/,Doodle Crickethttps://doodlecricket.github.io,Welcome to the Doodle Cricket Game! Powered By Advance AI Algorithms. This is a game built for you the cricket fan! Every cricket lover can now have the ...
doodle,Bing,doodle.com,https://doodle.com/en/,Free online meeting scheduling tool | Doodle,Doodle is the fastest and easiest way to schedule anything — from meetings to the next great collaboration. This app works best with JavaScript enabled. Product
doodle,Bing,help.doodle.com,https://help.doodle.com/hc/en-us,Doodle,Doodle free. Click here for help and resources related to general information about Doodle and your free Doodle account. View more
doodle,Bing,help.doodle.com,https://help.doodle.com/hc/en-us/articles/360012149713-Get-started-with-Doodle,Get started with Doodle,Doodle is an online scheduling tool used by more than 30 million happy users a month. Deciding on a date and time for a meeting between just a few people can be hard enough. Scheduling meetings with large groups of people - even worse! Doodle offers several different ways to set up polls and surveys that will help you quickly and efficiently ...
doodle,Bing,doodlelearning.com,https://doodlelearning.com/,Homepage - DoodleLearning,"Discover Doodle. Meet Doodle, the suite of programmes revolutionising the way children learn! Covering the core areas of maths and English, our four apps create every child a personalised learning experience tailored to their needs, helping to boost their confidence and ability."
doodle,Bing,students.doodlelearning.com,https://students.doodlelearning.com/,Doodle for Students | DoodleLearning,"Student login for DoodleMaths, DoodleEnglish, DoodleTables and DoodleSpell. Login to continue your progress. Or get started and try some practice questions now!"
doodle,Bing,doodlemaker.com,https://doodlemaker.com/go/,DoodleMaker - Turn Words into Colorful Doodle Videos!,"Doodle videos from templates, from scratch or from any content with the power of artificial intelligence. On-the-fly language translation, text-to-speech in over 60 languages, voiceovers in 160+ male and female voices. Whiteboard, blackboard & glassboard switcher, color image to doodle sketch converter ..."
doodle,Bing,uptime.doodle.com,https://uptime.doodle.com/,DOODLE Status,"Investigating - Some of our users are currently experiencing performance issues and errors while using Doodle. We are working to resume normal service as quickly as possible. Doodle Web and Apps Jun 14, 12:01 CEST Jun 13, 2022. No incidents reported. Jun 12, 2022. No incidents reported. Jun 11 ..."
doodle,Bing,doodlerooms.art,https://www.doodlerooms.art/,Doodle Rooms,Story. Doodle Rooms is a series of 9999 carefully curated spaces in the form of rooms. Holding a Doodle Room will give you access to the Doodle Room ecosystem that will include an airdrop of the actual 3D version of the room that you hold. This 3D version will be a part of a tower on DECENTRALAND on the Doodle estate.
doodle,Bing,jdoodle.com,https://www.jdoodle.com/,"Online Compiler and Editor/IDE for Java, C/C++, PHP, Python, Perl, …","JDoodle is a free Online Compiler, Editor, IDE for Java, C, C++, PHP, Perl, Python, Ruby and many more. you can run your programs on the fly online and you can save and share them with others. Quick and Easy way to compile and run programs online."
doodle,Bing,doodles.google.com,https://doodles.google.com/intl/en_us/d4g/vote/,Vote for Your Favorite Submissions - Doodle for Google,Review Google for Doodle submissions from finalists across the United States. Click on each doodle to learn more about the artist's inspiration. Stay in the loop. Get email updates about the 2022 Doodle for Google program Email address * You are: * a parent. an educator. other. I confirm I am at least 18 years old. ...
doodle,Bing,school.iqdoodle.com,https://school.iqdoodle.com/,Learn How to Doodle - IQ Doodle School,"Challenge yourself by working through creative doodling exercises. Explore how to doodle people including hands, feet, body parts, and more. Learn the fundamental principles for doodling metaphors and abstract words. And so much more to help you …"
gmail,Google,gmail.google.com,https://gmail.google.com/inbox/,Inbox by Gmail - Googlehttps://gmail.google.com › inbox,Inbox by Gmail is going away at the end of March 2019. Use the new Gmail to help you get more done and continue your conversations without interruption.
gmail,Bing,gmail.fileplanet.com,https://gmail.fileplanet.com/apk,Gmail (APK) - Review & Free Download,"30/12/2019 · The Gmail app gives users control of their email accounts while on the go. Gmail is a powerful email app with countless features and compatibility with most email services. For that reason, an Android device owner can utilize the app to send, receive, and manage all of their emails. Google's email app includes plenty of management and oversight ..."
google,Google,google.com,https://www.google.com/,Googlehttps://www.google.com,
google,Google,blog.google,https://blog.google/,The Keyword | Googlehttps://blog.google,"Discover all the latest about our products, technology, and Google culture on our official blog."
google,Google,google.com.pk,https://www.google.com.pk/,Googlehttps://www.google.com.pk,"Search the world's information, including webpages, images, videos and more. Google has many special features to help you find exactly what you're looking for."
google,Google,about.google,https://about.google/,"Google - About Google, Our Culture & Company Newshttps://about.google","Stay up to date with Google company news and products. Discover stories about our culture, philosophy, and how Google technology is impacting others."
google,Google,ai.google,https://ai.google/,Google AIhttps://ai.google,"At Google, we think that AI can meaningfully improve people's lives and that the biggest impact will come when everyone can access it. Learn more about our ..."
google,Google,grow.google,https://grow.google/certificates/,Job-ready skills you can put to work - Grow with Googlehttps://grow.google › certificates,Discover professional certificates developed by Google and designed to connect you to over 100 top employers who are hiring for related roles.
