query,engine,domain,URL
doodle,Google,doodle.com,https://doodle.com/en/
doodle,Google,doodle.com,https://doodle.com/meeting-scheduler
doodle,Google,doodles.google.com,https://doodles.google.com/d4g/
doodle,Google,doodles.google.com,https://doodles.google.com/d4g/how-it-works/
doodle,Google,doodles.app,https://doodles.app/
doodle,Google,doodlecricket.github.io,https://doodlecricket.github.io/
doodle,Bing,doodle.com,https://doodle.com/en/
doodle,Bing,help.doodle.com,https://help.doodle.com/hc/en-us
doodle,Bing,help.doodle.com,https://help.doodle.com/hc/en-us/articles/360012149713-Get-started-with-Doodle
doodle,Bing,doodlelearning.com,https://doodlelearning.com/
doodle,Bing,students.doodlelearning.com,https://students.doodlelearning.com/
doodle,Bing,doodlemaker.com,https://doodlemaker.com/go/
doodle,Bing,uptime.doodle.com,https://uptime.doodle.com/
doodle,Bing,doodlerooms.art,https://www.doodlerooms.art/
doodle,Bing,jdoodle.com,https://www.jdoodle.com/
doodle,Bing,doodles.google.com,https://doodles.google.com/intl/en_us/d4g/vote/
doodle,Bing,school.iqdoodle.com,https://school.iqdoodle.com/
gmail,Google,gmail.google.com,https://gmail.google.com/inbox/
gmail,Bing,gmail.fileplanet.com,https://gmail.fileplanet.com/apk
google,Google,google.com,https://www.google.com/
google,Google,blog.google,https://blog.google/
google,Google,google.com.pk,https://www.google.com.pk/
google,Google,about.google,https://about.google/
google,Google,ai.google,https://ai.google/
google,Google,grow.google,https://grow.google/certificates/
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=2tDCAwAAQBAJ&pg=PA191&lpg=PA191&dq=google&source=bl&ots=CydsKfFWLi&sig=ACfU3U3PAz_f6diB4nckwjTl1Td0UwX4Aw&hl=en&sa=X&ved=2ahUKEwiLsaWY1tf4AhURg5UCHejBAWw4FBDoAXoECAMQAw
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=y6YkDwAAQBAJ&pg=PA193&lpg=PA193&dq=google&source=bl&ots=kkERIOcisH&sig=ACfU3U3wwjcGP1uC5pdzDq3Y3KbA0UDLkg&hl=en&sa=X&ved=2ahUKEwiLsaWY1tf4AhURg5UCHejBAWw4FBDoAXoECAIQAw
google,Google,buildyourfuture.withgoogle.com,https://buildyourfuture.withgoogle.com/internships
google,Google,books.google.com.pk,https://books.google.com.pk/books?id=XbUEEAAAQBAJ&pg=PA5&lpg=PA5&dq=google&source=bl&ots=W2Mcf4BxLL&sig=ACfU3U3Xwljb6P0gHGxWDcTNedHxfXDmIw&hl=en&sa=X&ved=2ahUKEwiLsaWY1tf4AhURg5UCHejBAWw4FBDoAXoECAUQAw
google,Google,qiblafinder.withgoogle.com,https://qiblafinder.withgoogle.com/
google,Google,domains.google,https://domains.google/
google,Google,chromeenterprise.google,https://chromeenterprise.google/browser/download/
google,Bing,google.com,https://www.google.com/
google,Bing,google.com.ph,https://www.google.com.ph/search
google,Bing,google.ca,http://google.ca/
google,Bing,google.com.au,http://google.com.au/
google,Bing,accounts.google.com,https://accounts.google.com/
google,Bing,google.co.il,http://google.co.il/
google,Bing,accounts.google.com,https://accounts.google.com/ServiceLogin?service=mail
google,Bing,google.tt,http://www.google.tt/
google,Bing,drive.google.com,https://drive.google.com/
google,Bing,meet.google.com,https://meet.google.com/
google,Bing,translate.google.com,https://translate.google.com/
google,Bing,scholar.google.com,https://scholar.google.com/
google,Bing,maps.google.com,https://maps.google.com/
google,Bing,earth.google.com,https://earth.google.com/
google,Bing,google.rs,https://www.google.rs/
google,Bing,google.be,http://google.be/
google,Bing,one.google.com,https://one.google.com/
google,Bing,google.lt,http://google.lt/
google,Bing,play.google.com,https://play.google.com/
google,Bing,translate.google.com,https://translate.google.com/?hl=vi
outlook,Google,outlook.live.com,https://outlook.live.com/
outlook,Google,outlook.office365.com,https://outlook.office365.com/mail/inbox
outlook,Google,outlookfestival.com,https://outlookfestival.com/
outlook,Google,outlooktherapeutics.com,https://outlooktherapeutics.com/
outlook,Bing,outlook.com,https://www.outlook.com/
outlook,Bing,outlook.live.com,https://outlook.live.com/mail/0
outlook,Bing,outlook.live.com,https://outlook.live.com/
outlook,Bing,outlook.office.com,https://outlook.office.com/mail/
outlook,Bing,outlook.com,https://outlook.com/schoolwebmail.org.uk
outlook,Bing,outlook-sdf.office.com,https://outlook-sdf.office.com/mail/
outlook,Bing,w2.outlook.com,https://w2.outlook.com/getmac/
outlook,Bing,w2.outlook.com,https://w2.outlook.com/l/mobile
outlook,Bing,microsoft-outlook.fileplanet.com,https://microsoft-outlook.fileplanet.com/download
outlook,Bing,outlook-express.soft32.com,https://outlook-express.soft32.com/
outlook,Bing,howto-outlook.com,https://www.howto-outlook.com/howto/policies.htm
outlook,Bing,howto-outlook.com,https://www.howto-outlook.com/howto/icons.htm
